,Global_Score_Lung,Selective_Score_Lung,Driver_Delta,Rank
EPGN (255324),0.0034120126049586776,-0.06688976783333334,0.07030178043829201,173.0
KRTAP4-2 (85291),-1.0706000794214876,-1.1408949333333334,0.07029485391184576,174.0
NUP160 (23279),-1.4788819157024793,-1.5490389999999998,0.07015708429752054,175.0
CDC16 (8881),-2.5570480570247933,-2.6270075333333334,0.06995947630854005,176.0
PLPPR1 (54886),0.09880579044793389,0.028998371433333333,0.06980741901460055,177.0
SFTPA2 (729238),0.011978429677685951,-0.057654310858333335,0.06963274053601928,178.0
ASH2L (9070),-0.22828700330578514,-0.2978538408333333,0.06956683752754819,179.0
PSMD11 (5717),-2.071960884297521,-2.141188508333333,0.06922762403581206,180.0
HMGCS1 (3157),-2.05926985785124,-2.12848705,0.0692171921487601,181.0
ELAVL2 (1993),0.18128095729752064,0.11206516774999999,0.06921578954752065,182.0
POLA1 (5422),-0.8683458199173554,-0.9375214033333332,0.06917558341597785,183.0
FDXR (2232),-0.7024236274380166,-0.771484735,0.06906110756198347,184.0
CCNE2 (9134),-0.12675211412396695,-0.19533290583333332,0.06858079170936637,185.0
DNM2 (1785),-1.2467454561983473,-1.315204025,0.0684585688016528,186.0
SNCB (6620),0.02277749435867768,-0.04549147041666666,0.06826896477534433,187.0
SNCAIP (9627),0.053018421201900826,-0.015024019630833335,0.06804244083273416,188.0
NUP214 (8021),-1.3700987322314049,-1.4379455833333334,0.06784685110192856,189.0
SPSB4 (92369),0.13818454874380165,0.07050840941666667,0.06767613932713498,190.0
CUL2 (8453),-0.5671385866942148,-0.6347944375000001,0.06765585080578529,191.0
KRT8 (3856),-0.7263512273553719,-0.79396223,0.06761100264462805,192.0
FGG (2266),0.0262942500892562,-0.041117420475,0.0674116705642562,193.0
UBE2Q1 (55585),-0.3300783109917355,-0.3970736316666667,0.06699532067493119,194.0
POP4 (10775),-1.032349607520661,-1.09931455,0.06696494247933882,195.0
TWNK (56652),-0.35122233148760335,-0.4181581283333333,0.06693579684572998,196.0
UBE2QL1 (134111),0.13114551713223138,0.06422015641666666,0.06692536071556472,197.0
GTF2F2 (2963),-0.8810901023966943,-0.9479992658333333,0.066909163436639,198.0
ACTL6B (51412),0.16387557025619834,0.097118343,0.06675722725619834,199.0
CLEC7A (64581),0.25566988190082646,0.18917953499999998,0.06649034690082647,200.0
GTF2E2 (2961),-1.4556891305785125,-1.522111241666667,0.06642211108815443,201.0
TKT (7086),-0.3859474897520661,-0.4519599791666667,0.06601248941460058,202.0
CFAP54 (144535),-0.8663927120661157,-0.9323910391666664,0.06599832710055076,203.0
MGST1 (4257),0.25760588099173554,0.19163072750000001,0.06597515349173552,204.0
XRCC5 (7520),-1.2076851958677686,-1.2736063333333332,0.0659211374655646,205.0
CENPI (2491),-0.6238087165289257,-0.6897295175,0.06592080097107433,206.0
CACNG7 (59284),0.28925992033057846,0.22341869916666668,0.06584122116391178,207.0
AMOTL2 (51421),0.10933948688429752,0.04353686591666667,0.06580262096763086,208.0
TMEM179 (388021),0.08982346758264463,0.024061513541666666,0.06576195404097797,209.0
ARHGEF25 (115557),-0.12143186463636364,-0.18714665249999998,0.06571478786363634,210.0
CLIP4 (79745),0.19644623570247932,0.13073905,0.06570718570247933,211.0
CUL1 (8454),-0.6288792723140495,-0.6944073408333334,0.06552806851928394,212.0
PABPC4 (8761),-0.08265064295041322,-0.148118593,0.06546795004958678,213.0
YBX1 (4904),-1.3154303925619835,-1.3808700083333336,0.06543961577135016,214.0
RFC3 (5983),-1.474286961983471,-1.539699541666667,0.06541257968319591,215.0
TEAD3 (7005),-0.2929361808264463,-0.3582962508333334,0.0653600700068871,216.0
RBMX (27316),-1.9050751132231407,-1.9704296083333332,0.06535449511019253,217.0
TUBGCP6 (85378),-0.9805266936363637,-1.0458618333333332,0.06533513969696947,218.0
ATP6AP1 (537),-1.0367607033057853,-1.102094541666667,0.06533383836088169,219.0
TTI2 (80185),-0.8047841302479338,-0.8699716033333332,0.0651874730853994,220.0
CPSF1 (29894),-1.1437828719008267,-1.2088223666666666,0.06503949476583992,221.0
RAB3A (5864),-0.17928178909090908,-0.2442881525,0.06500636340909091,222.0
MIEN1 (84299),-0.1425561519586777,-0.20754966,0.06499350804132228,223.0
DTX3 (196403),-0.1676751976033058,-0.23266065666666666,0.06498545906336087,224.0
ABCC2 (1244),-0.029335557627851238,-0.09431368516666667,0.06497812753881543,225.0
SBDS (51119),-1.9101480553719008,-1.9751240499999998,0.064975994628099,226.0
GFI1 (2672),0.056145469113223136,-0.00880141335833333,0.06494688247155647,227.0
PIK3CD (5293),-0.13871944543801654,-0.20353345083333332,0.06481400539531679,228.0
SERP2 (387923),0.07779984521570249,0.013272296341666668,0.06452754887403582,229.0
TMEM35A (59353),0.2087489797107438,0.14425211958333334,0.06449686012741046,230.0
ZNF385D (79750),0.1340482768595041,0.06962902583333333,0.06441925102617077,231.0
CCT8 (10694),-1.8210294247933887,-1.88543975,0.06441032520661127,232.0
H2BC13 (8340),-0.9225377523966942,-0.9868628875000002,0.06432513510330595,233.0
OTX2 (5015),0.06485340244628099,0.0005596510833333334,0.06429375136294765,234.0
TRIM37 (4591),-0.6447522750413223,-0.7090290666666667,0.06427679162534439,235.0
PFAS (5198),-0.4463269114876033,-0.5103884766666666,0.06406156517906336,236.0
KDM5D (8284),0.5135919779338843,0.4496405991666667,0.06395137876721763,237.0
TTK (7272),-0.8717749418181818,-0.9356782225000001,0.06390328068181828,238.0
DLGAP3 (58512),-0.01655334835800826,-0.08044618483333334,0.06389283647532508,239.0
MYOD1 (4654),0.01470438732644628,-0.049125095875,0.06382948320144628,240.0
GINS1 (9837),-2.2052573669421487,-2.269083466666667,0.06382609972451814,241.0
YARS1 (8565),-2.1826413462809917,-2.246438058333333,0.0637967120523415,242.0
PNMA5 (114824),0.11415750064429751,0.05061481533000001,0.0635426853142975,243.0
PRIM2 (5558),-5.238073566942147,-5.3015792500000005,0.06350568305785309,244.0
WDR33 (55339),-1.9892640677685949,-2.0526803666666664,0.06341629889807154,245.0
